temp,humidity,pressure,wind
-3.0,73,1026,10
8.5,74,1003,15
13.0,63,1014,10
14.5,55,1024,6
23.5,69,1014,8
24.5,74,1018,6
17.0,46,1030,7
12.0,77,1016,5
1.5,50,1016,10
1.0,48,1034,8
-3.0,69,1018,11
2.5,74,1020,8
-1.5,58,1020,9
-2.0,81,1028,10
12.0,71,1007,8
15.5,71,1019,5
19.5,62,1014,8
23.0,58,1015,8
16.0,72,1011,6
12.5,68,1011,5
5.5,75,1004,14
8.5,81,1004,12
-1.0,77,1007,12
-1.5,72,1015,13
2.5,84,1018,6
-0.5,79,1013,10
9.0,73,1010,9
23.5,83,1019,-248
26.0,66,1013,7
24.5,71,1011,4
18.5,57,1015,4
14.5,78,1013,4
0.5,89,1003,18
-0.5,54,1000,10
3.0,81,1008,10
-6.0,71,1026,9
-5.0,77,1010,9
6.0,75,1014,10
14.0,72,1009,10
21.5,71,1018,4
20.5,76,1013,5
21.5,70,1012,6
17.0,76,1008,8
13.0,60,1013,10
10.5,77,1009,9
-6.5,56,1012,17
-2.0,76,1001,11
-2.0,75,1025,6
2.0,60,1026,7
11.5,59,1018,11
19.0,71,1017,7
16.5,51,1027,4
25.5,51,1016,7
24.5,66,1024,7
20.5,52,1029,7
24.0,52,1015,7
10.0,40,1016,8
9.0,49,1032,5
-3.0,55,1026,6
9.0,63,1016,8
5.5,57,1019,8
7.0,47,1026,8
15.5,49,1020,3
25.0,51,1019,3
24.5,63,1016,4
26.5,40,1017,5
21.0,41,1018,8
14.0,52,1012,5
11.0,73,995,10
14.5,71,1009,8
8.5,65,1013,6
-1.0,58,1025,4
8.5,89,1023,8
1.5,81,1036,9
15.5,76,1023,6
22.5,74,1028,3
27.5,65,1021,-246
25.5,71,1020,-247
21.0,54,1019,-245
23.5,71,1021,6
5.0,82,1030,13
3.5,55,1006,10
12.0,89,1012,6
-4.0,71,1037,6
-4.0,77,1016,4
6.5,72,1028,4
20.0,70,1018,8
23.5,72,1023,3
22.5,79,1019,4
25.0,69,1019,4
20.0,67,1021,7
15.5,55,1012,12
13.5,59,1026,8
-4.5,68,1015,13
3.0,70,1003,9
1.0,68,1033,5
9.5,80,1006,6
11.5,69,994,11
10.5,67,1024,7
23.0,53,1018,2
20.0,89,1014,4
16.0,68,1016,4
18.0,57,1016,3
11.5,47,1024,3
9.5,50,1022,4
8.0,74,1009,8
12.0,81,1004,15
8.0,76,1012,7
7.5,73,998,10
6.5,79,1002,7
12.0,79,1005,5
17.5,66,1023,4
16.5,61,1014,8
16.0,61,1022,5
14.5,62,1012,7
14.0,43,1026,4
9.5,52,1018,9
11.5,71,1006,12
9.5,64,1030,4
7.5,81,1021,7
5.0,85,1010,9
11.0,92,1024,4
12.5,97,1015,4
15.5,65,1026,5
19.0,66,1019,9
22.5,39,1018,5
17.5,50,1018,6
16.0,52,1022,6
11.5,72,1011,7
10.0,85,994,5
6.0,78,1014,7
7.5,86,996,11
3.0,84,1004,9
10.5,92,1026,2
17.0,75,1020,7
12.5,66,1015,5
19.0,60,1018,6
21.0,73,1025,9
19.0,57,1017,12
14.5,82,1028,9
10.0,55,1022,11
12.0,75,1035,4
8.5,90,1030,7
5.5,94,1024,6
9.5,85,1011,5
13.5,75,1004,14
10.5,66,1020,7
26.0,37,1020,3
22.5,68,1014,3
19.0,62,1017,5
17.5,71,1018,6
11.5,43,1022,8
12.0,49,1020,5
10.0,72,1013,6
11.5,75,1018,9
8.5,73,1017,9
9.0,79,1006,7
3.5,90,999,5
13.0,74,1010,6
